Horse trot, 24 minutes, E
Horse trot, 4 hours 37 minutes, SE
Horse gallop, 5 hours 24 minutes, NW
Horse gallop, 10 minutes, N
Horse trot, 1 hour 57 minutes, NW
Walk, 1 hour 12 minutes, NW
Walk, 8 minutes, N
Walk, 16 minutes, W
Horse trot, 4 hours 17 minutes, N
Elephant ride, 9 hours 59 minutes, E
Run, 26 minutes, SW
Walk, 44 minutes, NW
Walk, 24 minutes, W
Run, 8 hours 4 minutes, NE
Horse gallop, 22 minutes, SE
Run, 3 minutes, E
Horse gallop, 2 hours 52 minutes, N
Walk, 48 minutes, SE
Elephant ride, 48 minutes, E
Elephant ride, 5 hours 44 minutes, SE
Horse trot, 8 minutes, N
Horse gallop, 2 hours 20 minutes, NE
Horse gallop, 52 minutes, NW
Horse gallop, 15 minutes, NE
Elephant ride, 6 hours 38 minutes, S
Horse gallop, 9 hours 13 minutes, N
Elephant ride, 7 minutes, SE
Horse gallop, 4 minutes, N
Horse gallop, 13 minutes, SW
Horse gallop, 42 minutes, NW
Horse gallop, 27 minutes, W
Elephant ride, 1 hour 48 minutes, W
Elephant ride, 8 hours 25 minutes, NW
Horse gallop, 30 minutes, N
Walk, 9 hours 7 minutes, E
Horse trot, 6 hours 54 minutes, E
Run, 47 minutes, S
Run, 5 hours 43 minutes, NW
Elephant ride, 6 hours 10 minutes, W
Walk, 5 hours 30 minutes, NE
Walk, 49 minutes, NE
Walk, 33 minutes, NE
Run, 49 minutes, SW
Horse gallop, 5 minutes, SW
Horse trot, 3 hours 55 minutes, SE
Walk, 39 minutes, NE
Horse trot, 4 hours 46 minutes, W
Horse trot, 17 minutes, SW
Elephant ride, 5 hours 4 minutes, NW
Horse gallop, 53 minutes, NW
Elephant ride, 12 minutes, N
Run, 9 hours 32 minutes, NE
Elephant ride, 10 hours 53 minutes, NW
Horse trot, 46 minutes, SE
Horse trot, 38 minutes, SE
Horse gallop, 42 minutes, NE
Elephant ride, 4 hours 34 minutes, E
Walk, 56 minutes, SW
Walk, 25 minutes, NW
